Country,"Density
(P/Km2)",Land Area(Km2),Birth Rate,Fertility Rate,Gasoline Price,GDP,Gross tertiary education enrollment (%),Life expectancy,Minimum wage,Official language,Out of pocket health expenditure,Infant mortality,Maternal mortality ratio,Physicians per thousand,Population,Tax revenue (%),Total tax rate,CPI,Unemployment rate,Urban_population,Co2-Emissions,Latitude,Longitude
Afghanistan,60,652230,32.49,4.47,0.7,19101353833,9.70%,64.5,0.43,Pashto,78.40%,48,638,0.28,38041754,9.30%,71.40%,149.9,11.12%,9797273,8672,33.93911,67.709953
Estonia,31,45228,10.9,1.59,$1.14 ,31386949981,69.60%,78.2,3.14,Estonian,22.80%,2,9,4.48,1331824,20.90%,47.80%,122.14,5.11%,916024,16590,58.595272,25.013607
eswatini,67,17364,,,,3791304348,,,,English,11.30%,,,,1093238,28.60%,,,,,,-26.522503,31.465866
Ethiopia,115,1104300,32.34,4.25,$0.75 ,96107662398,8.10%,66.2,,Amharic,37.80%,39,401,0.08,112078730,7.50%,37.70%,143.86,2.08%,23788710,14870,9.145,40.489673
Fiji,49,18274,21.28,2.77,$0.82 ,5535548972,16.10%,67.3,1.28,Fiji Hindi,21.40%,22,34,0.84,889953,24.20%,32.10%,132.3,4.10%,505048,2046,-17.713371,178.065032
Finland,18,338145,8.6,1.41,$1.45 ,269000000000,88.20%,81.7,,Swedish,19.90%,1,3,3.81,5520314,20.80%,36.60%,112.33,6.59%,4716888,45871,61.92411,25.748151
France,119,643801,11.3,1.88,$1.39 ,2720000000000,65.60%,82.5,11.16,French,6.80%,3,8,3.27,67059887,24.20%,60.70%,110.05,8.43%,54123364,303276,46.227638,2.213749
Gabon,9,267667,31.61,3.97,$0.92 ,16657960228,8.30%,66.2,1.46,French,25.90%,33,252,0.68,2172579,10.20%,47.10%,122.19,20.00%,1949694,5321,-0.803689,11.609444
The Gambia,239,11300,38.54,5.22,$1.18 ,1763819048,2.70%,61.7,0.13,English,20.30%,39,597,0.1,2347706,9.40%,48.40%,172.73,9.06%,1453958,532,13.443182,-15.310139
Georgia,57,69700,13.47,2.06,$0.76 ,17743195770,63.90%,73.6,0.05,Georgian,57.30%,9,25,7.12,3720382,21.70%,9.90%,133.61,14.40%,2196476,10128,42.315407,43.356892
Germany,240,357022,9.5,1.56,$1.39 ,3850000000000,70.20%,80.9,9.99,German,12.50%,3,7,4.25,83132799,11.50%,48.80%,112.85,3.04%,64324835,727973,51.165691,10.451526
Ghana,137,238533,29.41,3.87,$0.92 ,66983634224,15.70%,63.8,0.27,English,36.10%,35,308,0.14,30792608,12.60%,55.40%,268.36,4.33%,17249054,16670,7.946527,-1.023194
Greece,81,131957,8.1,1.35,$1.54 ,210000000000,136.60%,81.3,4.46,Greek,35.50%,4,3,5.48,10716322,26.20%,51.90%,101.87,17.24%,8507474,62434,39.074208,21.824312
Guinea,53,245857,36.36,4.7,$0.90 ,13590281809,11.60%,61.2,,French,54.50%,65,576,0.08,12771246,10.80%,69.30%,262.95,4.30%,4661505,2996,9.945587,-9.696645
Guinea-Bissau,70,36125,35.13,4.48,,1340389411,2.60%,58,0.16,Portuguese,37.20%,54,667,0.13,1920922,10.30%,45.50%,111.65,2.47%,840922,293,11.803749,-15.180413
Guyana,4,214969,19.97,2.46,$0.90 ,4280443645,11.60%,69.8,0.98,English,40.50%,25,169,0.8,782766,,30.60%,116.19,11.85%,208912,2384,4.860416,-58.93018
Haiti,414,27750,24.35,2.94,$0.81 ,8498981821,1.10%,63.7,0.25,French,36.30%,50,480,0.23,11263077,,42.70%,179.29,13.78%,6328948,2978,18.971187,-72.285215
Honduras,89,112090,21.6,2.46,$0.98 ,25095395475,26.20%,75.1,1.01,Spanish,49.10%,15,65,0.31,9746117,17.30%,39.10%,150.34,5.39%,5626433,9813,15.199999,-86.241905
Hungary,107,93028,9.6,1.54,$1.18 ,161000000000,48.50%,75.8,2.62,Hungarian,29.00%,4,12,3.41,9769949,23.00%,37.90%,121.64,3.40%,6999582,45537,47.162494,19.503304
Iceland,3,103000,12,1.71,$1.69 ,24188035739,71.80%,82.7,,Icelandic,17.00%,2,4,4.08,361313,23.30%,31.90%,129,2.84%,339110,2065,64.963051,-19.020835
India,464,3287263,17.86,2.22,$0.97 ,2610000000000,28.10%,69.4,0.3,Hindi,65.10%,30,145,0.86,1366417754,11.20%,49.70%,180.44,5.36%,471031528,2407672,20.593684,78.96288
Indonesia,151,1904569,18.07,2.31,$0.63 ,1120000000000,36.30%,71.5,0.48,Indonesian,48.30%,21,177,0.43,270203917,10.20%,30.10%,151.18,4.69%,151509724,563325,-0.789275,113.921327
Iran,52,1648195,18.78,2.14,$0.40 ,445000000000,68.10%,76.5,1.58,Persian,39.70%,12,16,1.58,82913906,7.40%,44.70%,550.93,11.38%,62509623,661710,32.427908,53.688046
Iraq,93,438317,29.08,3.67,$0.61 ,234000000000,16.20%,70.5,1.24,Arabic,76.50%,23,79,0.71,39309783,2.00%,30.80%,119.86,12.82%,27783368,190061,33.223191,43.679291
Republic of Ireland,72,70273,12.5,1.75,$1.37 ,389000000000,77.80%,82.3,10.79,Irish,15.20%,3,5,3.31,5007069,18.30%,26.10%,106.58,4.93%,3133123,37711,53.41291,-8.24389
Israel,400,20770,20.8,3.09,$1.57 ,395000000000,63.40%,82.8,7.58,Hebrew,24.40%,3,3,4.62,9053300,23.10%,25.30%,108.15,3.86%,8374393,65166,31.046051,34.851612
Italy,206,301340,7.3,1.29,$1.61 ,2000000000000,61.90%,82.9,,Italian,22.80%,3,2,3.98,60297396,24.30%,59.10%,110.62,9.89%,42651966,320411,41.87194,12.56738
Jamaica,273,10991,16.1,1.98,$1.11 ,16458071068,27.10%,74.4,1.33,Jamaican English,23.70%,12,80,1.31,2948279,26.80%,35.10%,162.47,8.00%,1650594,8225,18.109581,-77.297508
Japan,347,377944,7.4,1.42,$1.06 ,5080000000000,63.20%,84.2,6.77,None,13.10%,2,5,2.41,126226568,11.90%,46.70%,105.48,2.29%,115782416,1135886,36.204824,138.252924
Jordan,115,89342,21.98,2.76,$1.10 ,43743661972,34.40%,74.4,1.49,Arabic,25.10%,14,46,2.32,10101694,15.10%,28.60%,125.6,14.72%,9213048,25108,30.585164,36.238414
Kazakhstan,7,2724900,21.77,2.84,$0.42 ,180000000000,61.70%,73.2,0.41,Russian,38.80%,9,10,3.25,18513930,11.70%,28.40%,182.75,4.59%,10652915,247207,48.019573,66.923684
Kenya,94,580367,28.75,3.49,$0.95 ,95503088538,11.50%,66.3,0.25,Swahili,33.40%,31,342,0.16,52573973,15.10%,37.20%,180.51,2.64%,14461523,17910,-0.023559,37.906193
Kuwait,240,17818,13.94,2.08,$0.35 ,135000000000,54.40%,75.4,0.95,Modern Standard Arabic,14.40%,7,12,2.58,4207083,1.40%,13.00%,126.6,2.18%,4207083,98734,29.31166,47.481766
Kyrgyzstan,34,199951,27.1,3.3,$0.56 ,8454619608,41.30%,71.4,0.09,Russian,48.20%,17,60,1.88,6456900,18.00%,29.00%,155.68,6.33%,2362644,9787,41.20438,74.766098
Laos,32,236800,23.55,2.67,$0.93 ,18173839128,15.00%,67.6,0.83,Lao,45.40%,38,185,0.37,7169455,12.90%,24.10%,135.87,0.63%,2555552,17763,19.85627,102.495496
Latvia,30,64589,10,1.6,$1.16 ,34117202555,88.10%,74.7,2.8,Latvian,41.60%,3,19,3.19,1912789,22.90%,38.10%,116.86,6.52%,1304943,7004,56.879635,24.603189
Lebanon,667,10400,17.55,2.09,$0.74 ,53367042272,26.30%,78.9,2.15,Arabic,32.10%,6,29,2.1,6855713,15.30%,32.20%,130.02,6.23%,6084994,24796,33.854721,35.862285
Lesotho,71,30355,26.81,3.14,$0.70 ,2460072444,10.20%,53.7,0.41,English,16.90%,66,544,0.07,2125268,31.60%,13.60%,155.86,23.41%,607508,2512,-29.609988,28.233608
Liberia,53,111369,33.04,4.32,$0.80 ,3070518100,11.90%,63.7,0.17,English,19.60%,54,661,0.04,4937374,12.90%,46.20%,223.13,2.81%,2548426,1386,6.428055,-9.429499
Libya,4,1759540,18.83,2.24,$0.11 ,52076250948,60.50%,72.7,1.88,Arabic,36.70%,10,72,2.09,6777452,,32.60%,125.71,18.56%,5448597,50564,26.3351,17.228331
Lithuania,43,65300,10,1.63,$1.16 ,54219315600,72.40%,75.7,2.41,Lithuanian,32.10%,3,8,6.35,2786844,16.90%,42.60%,118.38,6.35%,1891013,12963,55.169438,23.881275
Luxembourg,242,2586,10.3,1.37,$1.19 ,71104919108,19.20%,82.1,13.05,Luxembourgish,10.60%,2,5,3.01,645397,26.50%,20.40%,115.09,5.36%,565488,8988,49.815273,6.129583
Madagascar,48,587041,32.66,4.08,$1.11 ,14083906357,5.40%,66.7,0.21,French,21.70%,38,335,0.18,26969307,10.20%,38.30%,184.33,1.76%,10210849,3905,-18.766947,46.869107
Malawi,203,118484,34.12,4.21,$1.15 ,7666704427,0.80%,63.8,0.12,English,11.00%,35,349,0.04,18628747,17.30%,34.50%,418.34,5.65%,3199301,1298,-13.254308,34.301525
Malaysia,99,329847,16.75,2,$0.45 ,365000000000,45.10%,76,0.93,Malaysian language,36.70%,7,29,1.51,32447385,12.00%,38.70%,121.46,3.32%,24475766,248289,4.210484,101.975766
Maldives,1802,298,14.2,1.87,$1.63 ,5729248472,31.20%,78.6,,Divehi,16.40%,7,53,4.56,530953,19.50%,30.20%,99.7,6.14%,213645,1445,3.202778,73.22068
Mauritania,5,1030700,33.69,4.56,$1.13 ,7593752450,5.00%,64.7,0.53,Arabic,48.20%,52,766,0.19,4525696,,67.00%,135.02,9.55%,2466821,2739,21.00789,-10.940835
Mexico,66,1964375,17.6,2.13,$0.73 ,1260000000000,40.20%,75,0.49,None,41.40%,11,33,2.38,126014024,13.10%,55.10%,141.54,3.42%,102626859,486406,23.634501,-102.552784
Moldova,123,33851,10.1,1.26,$0.80 ,11955435457,39.80%,71.8,0.31,Romanian,46.20%,14,19,3.21,2657637,17.70%,38.70%,166.2,5.47%,1135502,5115,47.411631,28.369885
Monaco,26337,2,5.9,,$2.00 ,7184844193,,,11.72,French,6.10%,3,,6.56,38964,,,,,38964,,43.7384176,7.4246158
Mongolia,2,1564116,24.13,2.9,$0.72 ,13852850259,65.60%,69.7,0.65,Mongolian,39.30%,14,45,2.86,3225167,16.80%,25.70%,195.76,6.01%,2210626,25368,46.862496,103.846656
Montenegro,47,13812,11.73,1.75,$1.16 ,5494736901,56.10%,76.8,1.23,Montenegrin language,31.80%,2,6,2.76,622137,,22.20%,116.32,14.88%,417765,2017,42.708678,19.37439
Morocco,83,446550,18.94,2.42,$0.99 ,119000000000,35.90%,76.5,1.6,Arabic,53.10%,19,70,0.73,36910560,21.90%,45.80%,111.07,9.02%,22975026,61276,31.791702,-7.09262
Mozambique,40,799380,37.52,4.85,$0.65 ,14934159926,7.30%,60.2,0.27,Portuguese,6.80%,54,289,0.08,30366036,0.00%,36.10%,182.31,3.24%,11092106,7943,-18.665695,35.529562
Myanmar,83,676578,17.55,2.15,$0.54 ,76085852617,18.80%,66.9,0.39,Burmese,73.90%,37,250,0.68,54045420,5.40%,31.20%,168.18,1.58%,16674093,25280,21.916221,95.955974
Namibia,3,824292,28.64,3.4,$0.76 ,12366527719,22.90%,63.4,,English,8.30%,29,195,0.42,2494530,27.10%,20.70%,157.97,20.27%,1273258,4228,-22.95764,18.49041
Nepal,203,147181,19.89,1.92,$0.91 ,30641380604,12.40%,70.5,0.36,Nepali,60.40%,27,186,0.75,28608710,20.70%,41.80%,188.73,1.41%,5765513,9105,28.394857,84.124008
Netherlands,508,41543,9.7,1.59,$1.68 ,909000000000,85.00%,81.8,10.29,Dutch,12.30%,3,5,3.61,17332850,23.00%,41.20%,115.91,3.20%,15924729,170780,52.132633,5.291266
New Zealand,18,268838,11.98,1.71,$1.40 ,207000000000,82.00%,81.9,11.49,English,12.60%,5,9,3.59,4841000,29.00%,34.60%,114.24,4.07%,4258860,34382,-40.900557,174.885971
Nicaragua,55,130370,20.64,2.4,$0.91 ,12520915291,17.40%,74.3,0.54,Spanish,36.00%,16,98,0.98,6545502,15.60%,60.60%,162.74,6.84%,3846137,5592,12.865416,-85.207229
Niger,19,1267000,46.08,6.91,$0.88 ,12928145120,4.40%,62,0.29,French,52.30%,48,509,0.04,23310715,11.80%,47.20%,109.32,0.47%,3850231,2017,17.607789,8.081666
Nigeria,226,923768,37.91,5.39,$0.46 ,448000000000,10.20%,54.3,0.54,English,72.20%,76,917,0.38,200963599,1.50%,34.80%,267.51,8.10%,102806948,120369,9.081999,8.675277
North Korea,214,120538,13.89,1.9,$0.58 ,32100000000,27.00%,72.1,,Korean,,14,89,3.67,25666161,,,,2.74%,15947412,28284,40.339852,127.510093
Norway,15,323802,10.4,1.56,$1.78 ,403000000000,82.00%,82.8,,Norwegian,14.30%,2,2,2.92,5347896,23.90%,36.20%,120.27,3.35%,4418218,41023,60.472024,8.468946
Oman,16,309500,19.19,2.89,$0.45 ,76983094928,38.00%,77.6,4.33,Arabic,6.40%,10,19,2,5266535,2.50%,27.40%,113.53,2.67%,4250777,63457,21.4735329,55.975413
Pakistan,287,796095,28.25,3.51,$0.79 ,304000000000,9.00%,67.1,0.69,Urdu,66.50%,57,140,0.98,216565318,9.20%,33.90%,182.32,4.45%,79927762,201150,30.375321,69.345116
Panama,58,75420,18.98,2.46,$0.74 ,66800800000,47.80%,78.3,1.53,Spanish,30.50%,13,52,1.57,4246439,,37.20%,122.07,3.90%,2890084,10715,8.537981,-80.782127
Papua New Guinea,20,462840,27.07,3.56,$1.36 ,24969611435,1.80%,64.3,1.16,Tok Pisin,5.80%,38,145,0.07,8776109,13.60%,37.10%,155.99,2.46%,1162834,7536,-6.314993,143.95555
Paraguay,18,406752,20.57,2.43,$1.04 ,38145288940,34.60%,74.1,1.55,Spanish,36.50%,17,129,1.35,7044636,10.00%,35.00%,143.82,4.81%,4359150,7407,-23.442503,-58.443832
Peru,26,1285216,17.95,2.25,$0.99 ,227000000000,70.70%,76.5,1.28,Spanish,30.90%,11,88,1.27,32510453,14.30%,36.80%,129.78,3.31%,25390339,57414,-9.189967,-75.015152
Philippines,368,300000,20.55,2.58,$0.86 ,377000000000,35.50%,71.1,1.12,English,53.50%,23,121,0.6,108116615,14.00%,43.10%,129.61,2.15%,50975903,122287,12.879721,121.774017
Poland,124,312685,10.2,1.46,$1.07 ,592000000000,67.80%,77.6,2.93,Polish,23.20%,4,2,2.38,37970874,17.40%,40.80%,114.11,3.47%,22796574,299037,51.919438,19.145136
Portugal,111,92212,8.5,1.38,$1.54 ,238000000000,63.90%,81.3,3.78,Portuguese,27.70%,3,8,5.12,10269417,22.80%,39.80%,110.62,6.33%,6753579,48742,39.399872,-8.224454
Qatar,248,11586,9.54,1.87,$0.40 ,183000000000,17.90%,80.1,,Arabic,6.20%,6,9,2.49,2832067,14.70%,11.30%,115.38,0.09%,2809071,103259,25.354826,51.183884
Romania,84,238391,9.6,1.71,$1.16 ,250000000000,49.40%,75.4,2.25,Romanian,21.30%,6,19,2.98,19356544,14.60%,20.00%,123.78,3.98%,10468793,69259,45.943161,24.96676
Russia,9,17098240,11.5,1.57,$0.59 ,1700000000000,81.90%,72.7,0.53,Russian,36.40%,6,17,4.01,144373535,11.40%,46.20%,180.75,4.59%,107683889,1732027,61.52401,105.318756
Rwanda,525,26338,31.7,4.04,$1.17 ,10122472590,6.70%,68.7,,Swahili,26.00%,27,248,0.13,12626950,14.30%,33.20%,151.09,1.03%,2186104,1115,-1.940278,29.873888
Saudi Arabia,16,2149690,17.8,2.32,$0.24 ,793000000000,68.00%,75,3.85,Arabic,15.00%,6,17,2.61,34268528,8.90%,15.70%,118.4,5.93%,28807838,563449,23.885942,45.079162
Senegal,87,196722,34.52,4.63,$1.14 ,23578084052,12.80%,67.7,0.31,French,44.20%,32,315,0.07,16296364,16.30%,44.80%,109.25,6.60%,7765706,10902,14.497401,-14.452362
Serbia,100,77474,9.2,1.49,$1.16 ,51409167351,67.20%,75.5,1.57,Serbian,40.60%,5,12,3.11,6944975,18.60%,36.60%,144,12.69%,3907243,45221,44.016521,21.005859
Sierra Leone,111,71740,33.41,4.26,$1.08 ,3941474311,2.00%,54.3,0.57,English,38.20%,79,1120,0.03,7813215,8.60%,30.70%,234.16,4.43%,3319366,1093,8.460555,-11.779889
Singapore,8358,716,8.8,1.14,$1.25 ,372000000000,84.80%,83.1,,Malay,36.70%,2,8,2.29,5703569,13.10%,21.00%,114.41,4.11%,5703569,37535,1.352083,103.819836
Slovakia,114,49035,10.6,1.52,$1.32 ,105000000000,46.60%,77.2,3.11,Slovak,18.40%,5,5,3.42,5454073,18.70%,49.70%,115.34,5.56%,2930419,32424,48.669026,19.699024
Slovenia,103,20273,9.4,1.6,$1.32 ,53742159517,78.60%,81,5.25,Slovene language,12.50%,2,7,3.09,2087946,18.60%,31.00%,111.05,4.20%,1144654,12633,46.151241,14.995463
Solomon Islands,25,28896,32.44,4.4,,1425074226,,72.8,0.4,English,3.30%,17,104,0.19,669823,29.50%,32.00%,133.06,0.58%,162164,169,-9.64571,160.156194
Somalia,25,637657,41.75,6.07,$1.41 ,4720727278,2.50%,57.1,,Arabic,,77,829,0.02,15442905,0.00%,,,11.35%,7034861,645,5.152149,46.199616
South Africa,49,1219090,20.51,2.41,$0.92 ,351000000000,22.40%,63.9,,Afrikaans,7.70%,29,119,0.91,58558270,27.50%,29.20%,158.93,28.18%,39149717,476644,-30.559482,22.937506
South Korea,527,99720,6.4,0.98,$1.22 ,2030000000000,94.30%,82.6,6.49,Korean,36.80%,3,11,2.36,51709098,15.60%,33.20%,115.16,4.15%,42106719,620302,35.907757,127.766922
South Sudan,18,644329,35.01,4.7,$0.28 ,11997800751,,57.6,,English,61.30%,64,1150,,11062113,,31.40%,4583.71,12.24%,2201250,1727,6.8769919,31.3069788
